Mobile Site,Address,Street,City,State,Zipcode
Crenshaw Drive Thru,"1261 W 79th Street,Los Angeles,CA,90044",1261 W 79th Street,Los Angeles,CA,90044
Dogers Stadium,"1000 Vin Scully Ave,Los Angeles,CA,90012",1000 Vin Scully Ave,Los Angeles,CA,90012
Hansen Drive Thru,"11798 Foothill Blvd,Lake View Terrace,CA,91342",11798 Foothill Blvd,Lake View Terrace,CA,91342
Lincoln Park,"3501 Valley Blvd,Los Angeles,CA,90031",3501 Valley Blvd,Los Angeles,CA,90031
Baldwin Hills Mall,"3650 W Martin Luther King Jr Blvd,Los Angeles,CA,90008",3650 W Martin Luther King Jr Blvd,Los Angeles,CA,90008
South Park Recreation Center,"345 E 51st St,Los Angeles,CA,90011",345 E 51st St,Los Angeles,CA,90011
San Fernando,"208 Park Ave,San Fernando,CA,91340",208 Park Ave,San Fernando,CA,91340
Sears Boyle Heights,"2650 E. Olympic Blvd.,Los Angeles,CA,90023",2650 E. Olympic Blvd.,Los Angeles,CA,90023
Pierce College,"6201Winnetka Ave,Woodland Hills,CA,91371",6201Winnetka Ave,Woodland Hills,CA,91371
South Los Angeles Sports Activity Center,"7020 S. Figueroa St.,Los Angeles,CA,90003",7020 S. Figueroa St.,Los Angeles,CA,90003
Green Meadows,"731 E. 89th St.,Los Angeles,CA,90003",731 E. 89th St.,Los Angeles,CA,90003
Algin Sutton Park,"8800 S Hoover St,Los Angeles,CA,90044",8800 S Hoover St,Los Angeles,CA,90044
South LA Sports Activity Center,"7020 S Figueroa St,Los Angeles,CA,90003",7020 S Figueroa St,Los Angeles,CA,90003
Mid Valley YMCA (Van Nuys),"6901 Lennox Ave,Van Nuys,CA,91405",6901 Lennox Ave,Van Nuys,CA,91405
Vermont Square Park,"1248 W 47th St,Los Angeles,CA,90037",1248 W 47th St,Los Angeles,CA,90037
Graff Lab,"1038 Venice Blvd,Los Angeles,CA,90015",1038 Venice Blvd,Los Angeles,CA,90015
Hill St Parking,"713 N. Hill St.,Los Angeles,CA,90012",713 N. Hill St.,Los Angeles,CA,90012
Andres and Maria Cardenas Rec Center,"14740 Blythe St., Panorama City, CA, 91402",14740 Blythe St., Panorama City, CA,91402
Highland Park Police Museum,"6045 York Blvd, Los Angeles, CA,90042",6045 York Blvd, Los Angeles, CA,90042
Teatro Frida Kahlo,"2332 W. 4th St., Los Angeles, CA, 90057",2332 W. 4th St., Los Angeles, CA,90057
Valley Crossroads Seventh Day Adventist Church,"11350 Glenoaks Blvd., Pacoima, CA, 91331",11350 Glenoaks Blvd., Pacoima, CA,91331
Branford Rec Center,"13306 Branford St., Arleta, CA, 91331",13306 Branford St., Arleta, CA,91331
Elysian Valley Rec Center,"1811 Ripple St., Los Angeles, CA, 90039",1811 Ripple St., Los Angeles, CA,90039
Queen Anne Recreation Center,"1240 West Blvd., Los Angeles, CA, 90019",1240 West Blvd., Los Angeles, CA,90019
Glassel Park Rec Center,"3650 Verdugo Rd., Los Angeles, CA, 90065",3650 Verdugo Rd., Los Angeles, CA,90065
Sylmar Recreation Center,"13109 Borden Ave., Sylmar, CA, 91342",13109 Borden Ave., Sylmar, CA,91342
Clinica Romero,"123 S. Alvarado St., Los Angeles, CA, 90026",123 S. Alvarado St., Los Angeles, CA,90026
Seoul International Park,"3250 San Marino St, Los Angeles, CA, 90006",3250 San Marino St, Los Angeles, CA,90006
Sunland-Tujunga Neighborhood Council,"7747 Foothill Blvd #101, Tujunga, CA, 91042",7747 Foothill Blvd #101, Tujunga, CA,91042
Jim Gilliam Park,"4000 South La Brea Ave, Los Angeles, CA, 90008",4000 South La Brea Ave, Los Angeles, CA,90008
Lemon Grove Recreation Center,"4959 Lemon Grove Ave, Los Angeles, CA, 90029",4959 Lemon Grove Ave, Los Angeles, CA,90029
