OBJECTID,Mobile_Site,Address,Street,City,State,Zipcode,ResultID,X,Y,ID,sourceCountry,ENRICH_FID,areaType,bufferUnits,bufferUnitsAlias,bufferRadii,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,MEDWAGE_CY,WHTM65_CY,WHTM70_CY,WHTM75_CY,WHTM80_CY,WHTM85_CY,WHTF65_CY,WHTF70_CY,WHTF75_CY,WHTF80_CY,WHTF85_CY,WAGEBASECY,WHTMBASECY,WHTFBASECY,MEDBAGE_CY,BLKM65_CY,BLKM70_CY,BLKM75_CY,BLKM80_CY,BLKM85_CY,BLKF65_CY,BLKF70_CY,BLKF75_CY,BLKF80_CY,BLKF85_CY,BAGEBASECY,BLKMBASECY,BLKFBASECY,MEDIAGE_CY,AIM65_CY,AIM70_CY,AIM75_CY,AIM80_CY,AIM85_CY,AIF65_CY,AIF70_CY,AIF75_CY,AIF80_CY,AIF85_CY,IAGEBASECY,AIMBASE_CY,AIFBASE_CY,MEDAAGE_CY,ASNM65_CY,ASNM70_CY,ASNM75_CY,ASNM80_CY,ASNM85_CY,ASNF65_CY,ASNF70_CY,ASNF75_CY,ASNF80_CY,ASNF85_CY,AAGEBASECY,ASNMBASECY,ASNFBASECY,MEDPAGE_CY,PIM65_CY,PIM70_CY,PIM75_CY,PIM80_CY,PIM85_CY,PIF65_CY,PIF70_CY,PIF75_CY,PIF80_CY,PIF85_CY,PAGEBASECY,PIMBASE_CY,PIFBASE_CY,MEDOAGE_CY,OTHM65_CY,OTHM70_CY,OTHM75_CY,OTHM80_CY,OTHM85_CY,OTHF65_CY,OTHF70_CY,OTHF75_CY,OTHF80_CY,OTHF85_CY,OAGEBASECY,OTHMBASECY,OTHFBASECY,MEDHAGE_CY,HSPM65_CY,HSPM70_CY,HSPM75_CY,HSPM80_CY,HSPM85_CY,HSPF65_CY,HSPF70_CY,HSPF75_CY,HSPF80_CY,HSPF85_CY,HAGEBASECY,HSPMBASECY,HSPFBASECY
1,Crenshaw Drive Thru,"1261 W 79th Street,Los Angeles,CA,90044",1261 W 79th Street,Los Angeles,CA,90044,0,-118.29773387,33.96735913,0,US,1,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,28.1,1224,644,309,205,158,1242,780,435,284,264,103721,53122,50598,41.6,3923,3030,2066,1302,1041,5841,4543,3225,2161,2149,154558,68176,86381,29.1,40,19,12,11,8,41,27,20,5,12,3005,1545,1460,42.4,43,54,27,33,18,82,54,42,38,39,2216,1017,1199,33.0,4,4,4,1,1,7,3,0,4,1,479,229,251,27.0,1448,785,455,252,192,1563,918,515,338,280,162385,82369,80016,27.3,2763,1430,710,408,300,2893,1703,967,568,500,280895,143050,137845
2,Dogers Stadium,"1000 Vin Scully Ave,Los Angeles,CA,90012",1000 Vin Scully Ave,Los Angeles,CA,90012,1,-118.24673742,34.07251084,1,US,2,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,35.4,3339,2289,1489,993,819,3228,2431,1703,1167,1291,173723,94811,78912,42.2,673,427,193,79,82,289,178,137,98,148,26144,17236,8908,33.3,75,26,30,9,9,53,37,21,21,28,4884,2808,2076,44.2,2681,2520,1859,1282,1466,3662,3492,2647,1997,2483,104282,48628,55654,34.2,9,6,9,2,3,8,5,7,5,1,558,330,229,29.7,1400,877,472,287,212,1730,1131,694,413,390,139770,73886,65885,31.3,3523,2344,1467,851,687,4334,3218,2100,1310,1248,278870,147032,131838
3,Hansen Drive Thru,"11798 Foothill Blvd,Lake View Terrace,CA,91342",11798 Foothill Blvd,Lake View Terrace,CA,91342,2,-118.39325402,34.27322159,2,US,3,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,33.2,1245,887,621,376,275,1426,1074,737,468,453,66433,33703,32730,42.6,171,155,74,48,39,190,170,116,74,70,5627,2730,2897,32.7,14,8,10,6,7,14,26,4,9,7,1186,612,574,45.8,168,131,75,46,52,187,158,115,86,79,5389,2557,2833,38.3,4,2,0,1,1,2,1,0,4,1,173,79,94,28.7,720,396,230,150,131,762,507,324,178,159,58472,29602,28870,29.5,1595,981,640,397,298,1833,1316,834,472,419,120708,61124,59583
4,Lincoln Park,"3501 Valley Blvd,Los Angeles,CA,90031",3501 Valley Blvd,Los Angeles,CA,90031,3,-118.20205598,34.06550688,3,US,4,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,34.2,2482,1893,1327,867,791,2946,2348,1728,1109,1293,137555,71577,65978,41.0,257,155,88,28,36,110,68,41,35,32,12516,9008,3507,32.3,50,25,22,10,10,41,36,21,21,30,3368,1792,1576,46.1,1341,1292,1070,766,984,1665,1731,1448,1114,1457,50479,23760,26719,32.6,3,1,2,1,0,4,3,2,1,1,250,142,108,28.6,1259,859,454,281,239,1517,1066,616,405,439,111725,57122,54603,30.5,3390,2492,1633,1023,896,4215,3326,2266,1402,1500,244415,124460,119955
5,Baldwin Hills Mall,"3650 W Martin Luther King Jr Blvd,Los Angeles,CA,90008",3650 W Martin Luther King Jr Blvd,Los Angeles,CA,90008,4,-118.33626743,34.01144876,4,US,5,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,31.9,1295,837,472,326,319,1497,1029,676,473,592,85073,43450,41622,44.7,3746,2929,1939,1231,1079,5410,4359,3091,2087,2338,138884,61657,77227,31.5,45,19,19,11,7,39,34,19,12,19,2935,1512,1423,45.1,557,398,308,246,270,692,538,477,392,446,18018,8495,9524,33.8,2,2,4,1,2,5,6,3,1,3,455,223,232,28.9,1123,629,375,198,157,1364,908,519,297,231,110236,55524,54712,29.4,2269,1294,698,368,262,2740,1784,1082,601,489,195275,98413,96862
6,South Park Recreation Center,"345 E 51st St,Los Angeles,CA,90011",345 E 51st St,Los Angeles,CA,90011,5,-118.26852908,33.99657478,5,US,6,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,27.4,1785,1078,602,353,249,1931,1259,729,459,394,150655,77281,73374,39.6,2029,1452,1000,616,525,2729,2075,1512,1053,1173,81936,36871,45065,28.2,58,25,24,11,8,50,32,22,13,10,4278,2212,2065,24.8,161,165,96,62,47,238,211,142,107,99,11742,6005,5737,30.2,2,1,1,0,0,1,2,2,3,3,335,162,173,27.1,1986,1078,651,335,262,2091,1282,743,411,365,205575,104403,101172,27.5,3910,2155,1188,643,470,4181,2587,1496,858,712,367518,187043,180474
7,San Fernando,"208 Park Ave,San Fernando,CA,91340",208 Park Ave,San Fernando,CA,91340,6,-118.43449483,34.28104359,6,US,7,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,34.3,2281,1616,1142,730,667,2583,1874,1441,976,1159,114219,57385,56834,39.7,209,160,88,59,48,227,209,124,85,86,8113,3930,4183,32.7,28,18,19,9,10,30,36,14,18,18,2282,1150,1132,44.5,343,260,154,95,89,408,350,243,161,191,12807,6071,6736,36.1,3,2,1,1,1,4,3,0,5,1,260,124,135,29.1,1094,656,395,239,211,1317,858,544,324,256,95862,48366,47497,30.1,2701,1724,1120,672,550,3228,2260,1532,907,800,203152,102292,100860
8,Sears Boyle Heights,"2650 E. Olympic Blvd.,Los Angeles,CA,90023",2650 E. Olympic Blvd.,Los Angeles,CA,90023,7,-118.22178824,34.02508276,7,US,8,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,31.6,2428,1682,1101,683,522,2461,1748,1234,832,875,150160,79675,70484,42.8,611,419,230,109,91,376,259,183,148,149,23883,15335,8548,30.8,68,25,30,7,9,48,36,15,11,20,3712,1936,1776,44.7,712,841,684,549,697,1039,1175,1098,821,1068,28976,13332,15644,32.3,2,2,3,1,1,3,2,4,4,1,264,148,116,27.8,1482,950,536,320,258,1572,1111,644,397,376,141449,72931,68518,28.9,3591,2387,1500,873,700,4011,2837,1850,1171,1109,288182,148666,139517
9,Pierce College,"6201Winnetka Ave,Woodland Hills,CA,91371",6201Winnetka Ave,Woodland Hills,CA,91371,8,-118.57099324,34.18269003,8,US,9,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,43.6,3719,2968,1980,1447,1645,4191,3511,2654,1992,3048,135190,66771,68419,35.0,112,96,39,16,15,168,95,58,34,38,10162,5065,5097,35.4,15,11,7,5,5,18,16,13,7,14,1226,637,589,38.5,753,485,303,168,133,820,691,379,221,214,32153,15388,16765,34.1,7,4,3,1,0,7,3,1,1,2,302,142,160,29.1,324,214,111,44,62,461,347,135,104,82,42842,21871,20971,30.1,954,633,361,191,172,1290,953,535,345,339,91576,46021,45555
10,South Los Angeles Sports Activity Center,"7020 S. Figueroa St.,Los Angeles,CA,90003",7020 S. Figueroa St.,Los Angeles,CA,90003,9,-118.28267916,33.97620663,9,US,10,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,27.8,1572,869,424,262,183,1619,1003,560,325,276,136836,70204,66633,40.4,3403,2479,1741,1107,882,4880,3757,2679,1801,1866,136964,60713,76251,28.2,58,27,18,11,8,61,29,22,11,9,4200,2151,2049,42.2,83,92,49,37,18,125,95,65,43,37,2787,1290,1497,31.5,5,1,3,1,0,3,1,0,1,1,392,192,201,26.8,1899,997,606,315,231,1964,1173,657,407,325,206025,104687,101338,27.2,3651,1918,988,543,376,3751,2227,1256,719,592,362058,184648,177410
