FID,OBJECTID,ZIPCODE_x,ZIP,TOOLTIP,NLA_URL,ZIP_INT,ZIPCODE_y,PERCENTAGE,percenta_1,Shape__Area,Shape__Length
1,1,90001,90001,Zip Code: 90001,navigatela/reports/zipcode_county_report.cfm?pk=90001,90001,90001,0.8724%,0.8724,12941771.4335938,17915.2891819788
2,2,90002,90002,Zip Code: 90002,navigatela/reports/zipcode_county_report.cfm?pk=90002,90002,90002,0.9815%,0.9815,11200256.34375,16541.766162676
3,3,90003,90003,Zip Code: 90003,navigatela/reports/zipcode_county_report.cfm?pk=90003,90003,90003,1.5994%,1.5994,13897386.1484375,23307.341629931
4,4,90004,90004,Zip Code: 90004,navigatela/reports/zipcode_county_report.cfm?pk=90004,90004,90004,0.5453%,0.5453,11397722.2421875,19318.6990693534
5,5,90005,90005,Zip Code: 90005,navigatela/reports/zipcode_county_report.cfm?pk=90005,90005,90005,0.8724%,0.8724,5007167.22265625,32545.6418722483
6,6,90006,90006,Zip Code: 90006,navigatela/reports/zipcode_county_report.cfm?pk=90006,90006,90006,1.7812%,1.7812,7286333.1171875,13927.8921610225
7,7,90007,90007,Zip Code: 90007,navigatela/reports/zipcode_county_report.cfm?pk=90007,90007,90007,0.9815%,0.9815,9301256.55078125,21315.8413886815
8,8,90008,90008,Zip Code: 90008,navigatela/reports/zipcode_county_report.cfm?pk=90008,90008,90008,2.0720%,2.072,14454601.3945313,21743.195821065
9,9,90010,90010,Zip Code: 90010,navigatela/reports/zipcode_county_report.cfm?pk=90010,90010,90010,0.2181%,0.2181,616549.078125,15393.3798620733
10,10,90011,90011,Zip Code: 90011,navigatela/reports/zipcode_county_report.cfm?pk=90011,90011,90011,3.1261%,3.1261,16207000.8085938,21034.6960622399
11,11,90012,90012,Zip Code: 90012,navigatela/reports/zipcode_county_report.cfm?pk=90012,90012,90012,1.3086%,1.3086,13431233.5429688,20625.6591782653
12,12,90013,90013,Zip Code: 90013,navigatela/reports/zipcode_county_report.cfm?pk=90013,90013,90013,0.1454%,0.1454,2288609.09765625,9226.90774503938
13,13,90014,90014,Zip Code: 90014,navigatela/reports/zipcode_county_report.cfm?pk=90014,90014,90014,0.0364%,0.0364,1074008.578125,5478.32144301783
14,14,90015,90015,Zip Code: 90015,navigatela/reports/zipcode_county_report.cfm?pk=90015,90015,90015,1.0178%,1.0178,6321098.4609375,13765.7331967473
15,15,90016,90016,Zip Code: 90016,navigatela/reports/zipcode_county_report.cfm?pk=90016,90016,90016,0.9815%,0.9815,14003281.71875,21087.6601006265
16,16,90017,90017,Zip Code: 90017,navigatela/reports/zipcode_county_report.cfm?pk=90017,90017,90017,0.3272%,0.3272,2687497.85546875,9053.16266562494
17,17,90018,90018,Zip Code: 90018,navigatela/reports/zipcode_county_report.cfm?pk=90018,90018,90018,1.2359%,1.2359,11258506.2304688,16422.3377333605
18,18,90019,90019,Zip Code: 90019,navigatela/reports/zipcode_county_report.cfm?pk=90019,90019,90019,2.5445%,2.5445,14483696.7617188,24526.2172300124
19,19,90020,90020,Zip Code: 90020,navigatela/reports/zipcode_county_report.cfm?pk=90020,90020,90020,0.2181%,0.2181,4473718.05859375,15391.3852563502
20,20,90021,90021,Zip Code: 90021,navigatela/reports/zipcode_county_report.cfm?pk=90021,90021,90021,0.0727%,0.0727,7781333.30078125,14139.6253032593
21,21,90022,90022,Zip Code: 90022,navigatela/reports/zipcode_county_report.cfm?pk=90022,90022,90022,0.7634%,0.7634,16112503.9335938,22383.8825877595
22,22,90023,90023,Zip Code: 90023,navigatela/reports/zipcode_county_report.cfm?pk=90023,90023,90023,0.9815%,0.9815,21581556.3359375,28833.4905411415
23,23,90024,90024,Zip Code: 90024,navigatela/reports/zipcode_county_report.cfm?pk=90024,90024,90024,0.0364%,0.0364,11104932.9960938,21776.506536611
24,24,90025,90025,Zip Code: 90025,navigatela/reports/zipcode_county_report.cfm?pk=90025,90025,90025,0.1091%,0.1091,9428362.09375,22724.1910245399
25,25,90026,90026,Zip Code: 90026,navigatela/reports/zipcode_county_report.cfm?pk=90026,90026,90026,1.3813%,1.3813,15486998.8320313,24204.0018838109
26,26,90027,90027,Zip Code: 90027,navigatela/reports/zipcode_county_report.cfm?pk=90027,90027,90027,0.5816%,0.5816,32712629.1914063,29527.5389769909
27,27,90028,90028,Zip Code: 90028,navigatela/reports/zipcode_county_report.cfm?pk=90028,90028,90028,0.3635%,0.3635,5879848.71484375,14817.4031829021
28,28,90029,90029,Zip Code: 90029,navigatela/reports/zipcode_county_report.cfm?pk=90029,90029,90029,0.3272%,0.3272,5407570.703125,13065.5257019062
29,29,90031,90031,Zip Code: 90031,navigatela/reports/zipcode_county_report.cfm?pk=90031,90031,90031,0.8724%,0.8724,14423462.09375,29332.0343737486
30,30,90032,90032,Zip Code: 90032,navigatela/reports/zipcode_county_report.cfm?pk=90032,90032,90032,0.4726%,0.4726,19038680.2382813,24433.5236578188
31,31,90033,90033,Zip Code: 90033,navigatela/reports/zipcode_county_report.cfm?pk=90033,90033,90033,1.6358%,1.6358,11546480.828125,16813.064152319
32,32,90034,90034,Zip Code: 90034,navigatela/reports/zipcode_county_report.cfm?pk=90034,90034,90034,0.3999%,0.3999,11716871.7265625,20859.2502533513
33,33,90035,90035,Zip Code: 90035,navigatela/reports/zipcode_county_report.cfm?pk=90035,90035,90035,0.3999%,0.3999,7762016.04296875,16195.3623812849
34,34,90036,90036,Zip Code: 90036,navigatela/reports/zipcode_county_report.cfm?pk=90036,90036,90036,0.2545%,0.2545,9446363.37109375,15241.0219103939
35,35,90037,90037,Zip Code: 90037,navigatela/reports/zipcode_county_report.cfm?pk=90037,90037,90037,1.8902%,1.8902,11035761.4804688,17719.5796460288
36,36,90038,90038,Zip Code: 90038,navigatela/reports/zipcode_county_report.cfm?pk=90038,90038,90038,0.3635%,0.3635,5765441.72265625,14653.6078921789
37,37,90039,90039,Zip Code: 90039,navigatela/reports/zipcode_county_report.cfm?pk=90039,90039,90039,1.1269%,1.1269,15356033.484375,25799.2847284835
38,38,90040,90040,Zip Code: 90040,navigatela/reports/zipcode_county_report.cfm?pk=90040,90040,90040,0.1091%,0.1091,20978840.3789063,30753.4541287176
39,39,90041,90041,Zip Code: 90041,navigatela/reports/zipcode_county_report.cfm?pk=90041,90041,90041,1.0542%,1.0542,13450554.6953125,25233.2979245246
40,40,90042,90042,Zip Code: 90042,navigatela/reports/zipcode_county_report.cfm?pk=90042,90042,90042,3.0898%,3.0898,17128067.5820313,25590.5746556141
41,41,90043,90043,Zip Code: 90043,navigatela/reports/zipcode_county_report.cfm?pk=90043,90043,90043,2.3628%,2.3628,15347460.2578125,21077.8576171288
42,42,90044,90044,Zip Code: 90044,navigatela/reports/zipcode_county_report.cfm?pk=90044,90044,90044,1.5994%,1.5994,18906332.7304688,30308.1083624633
43,43,90045,90045,Zip Code: 90045,navigatela/reports/zipcode_county_report.cfm?pk=90045,90045,90045,0.3272%,0.3272,41395708.3242188,36317.6423034275
44,44,90046,90046,Zip Code: 90046,navigatela/reports/zipcode_county_report.cfm?pk=90046,90046,90046,0.3635%,0.3635,21431151.0742188,31912.8416854601
45,45,90047,90047,Zip Code: 90047,navigatela/reports/zipcode_county_report.cfm?pk=90047,90047,90047,1.5994%,1.5994,18167484.6953125,28478.9181523982
46,46,90048,90048,Zip Code: 90048,navigatela/reports/zipcode_county_report.cfm?pk=90048,90048,90048,0.1091%,0.1091,6959246.71484375,15578.2881434974
